"count","PrimaryKey","Mt Strada","ei_mts","diff","ei_reg1","diff_reg1"
14,2497009.65128,3773.03399147315,31.1564558111478,-17.1564558111478,38.3955278791016,-24.3955278791016
89,1860992.63305,3249.13565613647,26.8302781590673,62.1697218409327,38.4239692596757,50.5760307403243
63,1864600.38112,3345.2700717883,27.6241240878228,35.3758759121772,38.4187503167675,24.5812496832325
196,1890907.38961,3044.69858146932,25.1421050078521,170.857894992148,38.4350677348031,157.564932265197
45,1918144.57401,2840.17630852734,23.4532283177102,21.5467716822898,38.4461708351726,6.55382916482743
71,1903568.34102,2385.13429491752,19.6956431962163,51.3043568037837,38.4708741453634,32.5291258546366
71,1602693.90873,2745.40564182546,22.6706437727622,48.3293562272378,38.4513157429097,32.5486842570903
8,652856.337797,1274.68777764657,10.5259463622667,-2.52594636226674,38.5311580399182,-30.5311580399182
81,1889655.45904,3864.40173404688,31.9109401440471,49.0890598559529,38.3905677092299,42.6094322907701
14,901506.976259,1735.96024483754,14.3349804906138,-0.334980490613782,38.5061164910091,-24.5061164910091
42,2080303.37631,3254.97342184901,26.8784844805237,15.1215155194763,38.4236523391872,3.57634766081279
36,1639074.00095,2353.37898617635,19.433418451939,16.566581548061,38.4725980768215,-2.47259807682153
33,1516612.96011,2244.10556707587,18.5310750165946,14.4689249834054,38.4785303096416,-5.47853030964161
53,1509791.85776,2841.03585679514,23.4603261805134,29.5396738194866,38.4461241720363,14.5538758279637
48,1625498.50707,2542.26355334405,20.9931641853906,27.0068358146094,38.4623439158574,9.53765608414262
44,1640687.83928,2416.32157611596,19.9531773585708,24.0468226414292,38.4691810509712,5.53081894902881
68,1639390.89504,2393.08947641009,19.7613344306985,48.2386655693015,38.4704422746566,29.5295577253434
33,1238338.73593,2393.99293420635,19.768794883737,13.231205116263,38.4703932277609,-5.47039322776089
22,1638366.08265,2665.59672445718,22.0116083617535,-0.0116083617535097,38.4556484075489,-16.4556484075489
48,1631336.50348,2114.59789819447,17.4616438978114,30.5383561021886,38.4855610189405,9.51443898105952
21,1607114.15187,2493.24916707254,20.5884197374397,0.411580262560314,38.4650048077128,-17.4650048077128
27,1619490.2967,2833.60254900128,23.3989444049096,3.60105559509042,38.4465277112759,-11.4465277112759
11,1610814.58473,2065.8804195174,17.0593512137107,-6.05935121371074,38.4882057922833,-27.4882057922833
20,2249706.65732,3403.02071600753,28.1010096390126,-8.1010096390126,38.415615151145,-18.415615151145
17,1885932.60104,3217.03428667668,26.5651957608405,-9.56519576084048,38.42571197807,-21.42571197807
31,2291793.57467,4222.13117203017,34.864950484813,-3.86495048481301,38.3711473018685,-7.37114730186847
31,1920211.89806,2890.91740890235,23.8722313946015,7.12776860539851,38.4434162035023,-7.44341620350231
35,1475082.74014,2212.65055207315,18.271329997815,16.728670002185,38.4802379387603,-3.4802379387603
19,2027285.81822,3362.47722652318,27.7662150303757,-8.76621503037571,38.4178161751537,-19.4178161751537
9,1450201.47372,2205.66462570323,18.2136425487391,-9.21364254873914,38.4806171905677,-29.4806171905677
5,1450945.71384,2144.64401390692,17.7097546963378,-12.7097546963378,38.4839298761135,-33.4839298761135
47,2054324.42734,3152.19490701038,26.0297737975185,20.9702262024815,38.4292319767966,8.57076802320336
73,1896474.04633,2973.61072695922,24.5550852241028,48.4449147758972,38.4389269505859,34.5610730494141
37,1523725.86066,2316.92512575486,19.1323946355793,17.8676053644207,38.4745770831434,-1.47457708314339
54,1828207.67253,2919.6523765371,24.1095151697729,29.8904848302271,38.4418562402515,15.5581437597485
31,1828765.82736,2802.71917471496,23.1439198044354,7.85608019556462,38.4482043071768,-7.4482043071768
40,1827206.42459,3218.85477658745,26.5802287591086,13.4197712408914,38.4256131473563,1.57438685264369
58,2061125.01078,2865.41973918301,23.661680145476,34.338319854524,38.4448004203996,19.5551995796004
50,1795931.5142,3026.86856027469,24.9948706418968,25.0051293581032,38.4360356905767,11.5639643094233
29,1845582.83144,2842.67808057899,23.4738871165848,5.52611288341523,38.4460350190299,-9.44603501902994
37,1813352.63761,1853.59388067113,15.3063598063148,21.6936401936852,38.4997303989386,-1.49973039893856
56,1950979.23391,2984.31893000033,24.6435099919743,31.3564900080257,38.4383456239097,17.5616543760903
25,1832115.6603,2903.67444728249,23.9775747610992,1.02242523890075,38.4427236497011,-13.4427236497011
21,1753286.06324,2737.37312632659,22.6043139398589,-1.60431393985889,38.4517518119232,-17.4517518119232
14,1287406.01297,1471.69332212695,12.1527524167644,1.8472475832356,38.5204630075277,-24.5204630075277
25,1785503.10118,3082.72142574518,25.4560849693823,-0.456084969382324,38.4330035515225,-13.4330035515225
10,1717367.86239,2593.09175458305,21.4128865121552,-11.4128865121552,38.4595845556575,-28.4595845556575
42,1441848.76537,1800.7626307033,14.8700969714741,27.1299030285259,38.502598500601,3.49740149939898
23,1444005.76774,2328.44583841285,19.2275288367693,3.77247116323066,38.4739516469641,-15.4739516469641
13,1422363.49942,2188.16077439115,18.0691015848459,-5.06910158484589,38.4815674392382,-25.4815674392382
43,1611451.04278,2504.01114444746,20.6772885558177,22.3227114441823,38.4644205617368,4.53557943826321
34,1727742.0759,2805.11580361878,23.1637103662767,10.8362896337233,38.4480741990429,-4.44807419904293
20,1743088.08847,2585.06830317148,21.3466315274605,-1.34663152746053,38.4600201326,-18.4600201326
31,1768012.35857,3265.89399401423,26.9686629217641,4.03133707823593,38.4230594834209,-7.42305948342095
26,1644934.08197,2618.52760224726,21.6229272553768,4.37707274462325,38.4582036949544,-12.4582036949544
