"count","PrimaryKey"
14,2497009.65128
89,1860992.63305
63,1864600.38112
196,1890907.38961
45,1918144.57401
71,1903568.34102
71,1602693.90873
8,652856.337797
81,1889655.45904
14,901506.976259
42,2080303.37631
36,1639074.00095
33,1516612.96011
53,1509791.85776
48,1625498.50707
44,1640687.83928
68,1639390.89504
33,1238338.73593
22,1638366.08265
48,1631336.50348
21,1607114.15187
27,1619490.2967
11,1610814.58473
20,2249706.65732
17,1885932.60104
31,2291793.57467
31,1920211.89806
35,1475082.74014
19,2027285.81822
9,1450201.47372
5,1450945.71384
47,2054324.42734
73,1896474.04633
37,1523725.86066
54,1828207.67253
31,1828765.82736
40,1827206.42459
58,2061125.01078
50,1795931.5142
29,1845582.83144
37,1813352.63761
56,1950979.23391
25,1832115.6603
21,1753286.06324
14,1287406.01297
25,1785503.10118
10,1717367.86239
42,1441848.76537
23,1444005.76774
13,1422363.49942
43,1611451.04278
34,1727742.0759
20,1743088.08847
31,1768012.35857
26,1644934.08197
23,1772059.67395
39,1770060.61691
44,2379873.98016
52,2099451.07413
29,1587377.30733
23,1504293.7947
18,1683542.56996
93,2126882.59306
50,1945657.7449
25,1504308.10059
38,2475181.64879
17,2130565.77743
16,1757819.40632
37,1627809.26675
25,1653839.84553
16,1745182.89716
20,1454192.17296
29,1750287.75252
14,1519400.5364
22,1646861.69945
31,1773181.65751
46,1809836.54345
34,1721309.58554
37,1810979.26763
36,1509164.79217
24,1810895.31636
19,1480301.69841
62,2152392.6785
39,2173529.60703
42,1528572.60273
31,1969036.02768
39,1805749.9411
15,1878090.11702
15,1519495.80501
16,2005613.16289
27,1423881.75656
19,1966226.105
22,1850619.13018
51,2236222.56648
75,1389722.6795
32,1348755.46132
34,1823285.63215
40,828176.554211
58,1949161.87535
51,1247781.36133
53,979567.973584
32,2020312.48687
59,2170111.32448
17,1891640.19419
34,1876179.10705
54,1866105.76825
87,1770108.59626
46,2036089.71627
51,2045270.54846
75,1937232.69619
108,1805017.42183
31,1847310.26065
34,1988439.59431
5,1838820.79692
20,1972387.75684
25,1846300.38069
7,1267976.05792
23,1376243.86429
48,2824696.83844
28,1892836.26254
31,2622725.21448
20,1831149.61188
14,1713577.60129
34,1707334.53122
47,1853782.12018
41,1707766.18767
36,1759616.34173
74,2360097.80987
53,4528015.90674
61,3470556.22954
30,1863185.09409
58,4732242.88771
6,1264075.62886
6,1230571.85204
8,1498401.08055
4,1651211.82539
